Product Name,Category,Original Price,Discount (%),Promotion Price,Promotion Type,Start Date,End Date
Eye Formula,SCS Score / Eye Health,56.0,20,44.8,Member Discount,2025-09-15,2025-09-30
Beauty Focus Collagen+ Citrus,SCS Score / Skin Health,75.0,30,52.5,Seasonal Sale,2025-09-15,2025-09-30
LifePak Anti-Aging Formula,SCS Score / Anti-aging,118.0,5,112.1,Flash Sale,2025-09-15,2025-09-30
g3 Single Serve Pouch (15 pack),SCS Score / Nutrition,93.0,20,74.4,Seasonal Sale,2025-09-15,2025-09-30
Carotenoid Plus,SCS Score / Eye & Skin Health,69.0,10,62.1,Member Discount,2025-09-15,2025-09-30
PhytoShield Complex,SCS Score / General Health,88.0,25,66.0,Seasonal Sale,2025-09-15,2025-09-30
MYND360 Night Time,Sleep,60.0,25,45.0,Seasonal Sale,2025-09-15,2025-09-30
RestEase Herbal Complex,Sleep,52.0,20,41.6,Seasonal Sale,2025-09-15,2025-09-30
DreamBalance Melatonin,Sleep,49.0,25,36.75,Seasonal Sale,2025-09-15,2025-09-30
Vision Guard,Eye Health,64.0,25,48.0,Bundle Offer,2025-09-15,2025-09-30
BlueShield Formula,Eye Health,72.0,10,64.8,Member Discount,2025-09-15,2025-09-30
TRMe GO PreWorkout+,Weight Control / Fitness,68.0,25,51.0,Bundle Offer,2025-09-15,2025-09-30
TRMe GO Protein+,Weight Control / Fitness,81.0,25,60.75,Bundle Offer,2025-09-15,2025-09-30
TRMe GO Recovery+,Weight Control / Fitness,68.0,25,51.0,Seasonal Sale,2025-09-15,2025-09-30
TrimBalance Capsules,Weight Control,77.0,5,73.15,Seasonal Sale,2025-09-15,2025-09-30
SlimBoost Shake Vanilla,Weight Control,85.0,25,63.75,Bundle Offer,2025-09-15,2025-09-30
Bone Formula,Joint Health / Bone Health,56.0,10,50.4,Bundle Offer,2025-09-15,2025-09-30
Cartilage Formula,Joint Health,81.0,20,64.8,Flash Sale,2025-09-15,2025-09-30
FlexiMove Capsules,Joint Health,74.0,15,62.9,Bundle Offer,2025-09-15,2025-09-30
ageLOC Youth,Nutrition / Anti-aging,169.0,20,135.2,Member Discount,2025-09-15,2025-09-30
NutriPlus Daily,Nutrition,59.0,5,56.05,Flash Sale,2025-09-15,2025-09-30
ImmuneShield Complex,Nutrition,66.0,25,49.5,Member Discount,2025-09-15,2025-09-30
OmegaLife 3,Nutrition / Heart Health,71.0,30,49.7,Seasonal Sale,2025-09-15,2025-09-30
ProBioMax,Nutrition / Digestive Health,64.0,20,51.2,Seasonal Sale,2025-09-15,2025-09-30
VitaBoost C+,Nutrition / Immunity,47.0,25,35.25,Member Discount,2025-09-15,2025-09-30
Mineral Balance,Nutrition,54.0,30,37.8,Seasonal Sale,2025-09-15,2025-09-30
YouthfulSkin Formula,Anti-aging,92.0,10,82.8,Seasonal Sale,2025-09-15,2025-09-30
EnergyMax B-Complex,Nutrition / Energy,61.0,10,54.9,Member Discount,2025-09-15,2025-09-30
DetoxiTea Herbal Blend,Nutrition / Detox,45.0,20,36.0,Seasonal Sale,2025-09-15,2025-09-30
